Man Gave Names To All Animals;Slow Train Coming;Bob Dylan;1979
Quinn The Eskimo;The Best Of Bob Dylan Volume 2;Bob Dylan;2000
Rosie Had Everything Planned;Indelibly Stamped;Supertramp;1971
Rudy;Retrospectacle - The Supertramp Anthology;Supertramp;2005
You Never Can Tell With Friends;Free As A Bird;Supertramp;1987
You Win I Lose (live);It Was The Best Of Times;Supertramp;1999
Ain't Nobody But Me;The Very Best Of Supertramp;Supertramp;1990
All Along The Watchtower (live);Before The Flood;Bob Dylan;1974
Brother Where You Bound;Brother Where You Bound;Supertramp;1985
Help Me Down That Road;Some Things Never Change;Supertramp;1997
Just Another Nervous Wreck;Breakfast In America;Supertramp;1979
Just Like Tom Thumb's Blues;Highway 61 Revisited;Bob Dylan;1965
Rainy Day Women #12 & 35 (live);Before The Flood;Bob Dylan;1974
Sooner Or Later (live);It Was The Best Of Times;Supertramp;1999
All I Really Want To Do;Another Side Of Bob Dylan;Bob Dylan;1964
Bob Dylan's 115th Dream;Bringing It All Back Home;Bob Dylan;1965
Breakfast In America;The Very Best Of Supertramp;Supertramp;1990
Crime Of The Century;The Very Best Of Supertramp;Supertramp;1990
Gonna Change My Way Of Thinking;Slow Train Coming;Bob Dylan;1979
Goodbye Stranger (live);It Was The Best Of Times;Supertramp;1999
I Dreamed I Saw St. Augustine;John Wesley Harding;Bob Dylan;1967
I Forgot More Than You'll Ever Know;Self Portrait;Bob Dylan;1970
Knockin' On Heaven's Door (live);Before The Flood;Bob Dylan;1974
Rainy Day Women Nos. 12 + 35 (live);MTV Unplugged;Bob Dylan;1994
School;Retrospectacle - The Supertramp Anthology;Supertramp;2005
Sittin' On Top Of The World;Good As I Been To You;Bob Dylan;1992
Spanish Harlem Incident;Another Side Of Bob Dylan;Bob Dylan;1964
Surely;Retrospectacle - The Supertramp Anthology;Supertramp;2005
The Logical Song (live);It Was The Best Of Times;Supertramp;1999
Bloody Well Right (live);It Was The Best Of Times;Supertramp;1999
Dreamer;Retrospectacle - The Supertramp Anthology;Supertramp;2005
Free As A Bird;The Very Best Of Supertramp Vol. 2;Supertramp;1992
Gone Hollywood;The Very Best Of Supertramp Vol. 2;Supertramp;1992
I Shall Be Free - No. 10;Another Side Of Bob Dylan;Bob Dylan;1964
Land Ho;Retrospectacle - The Supertramp Anthology;Supertramp;2005
Love Minus Zero/No Limit;Bringing It All Back Home;Bob Dylan;1965
Some Things Never Change;Some Things Never Change;Supertramp;1997
The Times They Are A-Changin' (live);MTV Unplugged;Bob Dylan;1994
Things Have Changed;The Best Of Bob Dylan Volume 2;Bob Dylan;2000
A Soapbox Opera;The Very Best Of Supertramp Vol. 2;Supertramp;1992
Fool's Overture;The Very Best Of Supertramp Vol. 2;Supertramp;1992
Highway 61 Revisited;The Best Of Bob Dylan Volume 2;Bob Dylan;2000
My Kind Of Lady;The Very Best Of Supertramp Vol. 2;Supertramp;1992
Over You;Retrospectacle - The Supertramp Anthology;Supertramp;2005
Simple Twist Of Fate;The Best Of Bob Dylan Volume 2;Bob Dylan;2000
Take The Long Way Home;The Very Best Of Supertramp;Supertramp;1990
The Groom's Still Waiting At The Altar;Shot Of Love;Bob Dylan;1981
The Times They Are A-Changin';The Best Of Bob Dylan;Bob Dylan;1997
Waiting So Long;The Very Best Of Supertramp Vol. 2;Supertramp;1992
Yea! Heavy And A Bottle Of Bread;The Basement Tapes;Bob Dylan;1975
Listen To Me Please (live);It Was The Best Of Times;Supertramp;1999
Two Of Us;Retrospectacle - The Supertramp Anthology;Supertramp;2005
Breakfast In America (live);It Was The Best Of Times;Supertramp;1999
Cannonball;Retrospectacle - The Supertramp Anthology;Supertramp;2005
Changing Of The Guards;The Best Of Bob Dylan Volume 2;Bob Dylan;2000
Downstream;Retrospectacle - The Supertramp Anthology;Supertramp;2005
It's All Over Now Baby Blue;Bringing It All Back Home;Bob Dylan;1965
Oh Darling;Retrospectacle - The Supertramp Anthology;Supertramp;2005
Subterranean Homesick Blues;Bringing It All Back Home;Bob Dylan;1965
Don't Leave Me Now;The Very Best Of Supertramp Vol. 2;Supertramp;1992
From Now On;Retrospectacle - The Supertramp Anthology;Supertramp;2005
Don't Think Twice, It's All Right;The Best Of Bob Dylan;Bob Dylan;199
Knockin' On Heaven's Door;Pat Garrett And Billy The Kid;Bob Dylan;1973
Main Tittle Theme (Billy);Pat Garrett And Billy The Kid;Bob Dylan;1973
Positively Fourth Street;The Best Of Bob Dylan Volume 2;Bob Dylan;2000
Take The Long Way Home (live);It Was The Best Of Times;Supertramp;1999
Tonight I'll Be Staying Here With You;Nashville Skyline;Bob Dylan;1969
Don't Think Twice,It's All Right (live);Before The Flood;Bob Dylan;197
I'll Be Your Baby Tonight;The Best Of Bob Dylan Volume 2;Bob Dylan;2000
A Hard Rain's A-Gonna Fall;The Best Of Bob Dylan Volume 2;Bob Dylan;2000
Blowin' In The Wind (live);The Best Of Bob Dylan Volume 2;Bob Dylan;2000
Crash On The Levee (Down In The Flood);The Basement Tapes;Bob Dylan;1975
Free As A Bird;Retrospectacle - The Supertramp Anthology;Supertramp;2005
Gone Hollywood;Retrospectacle - The Supertramp Anthology;Supertramp;2005
Lily, Rosemary And The Jack Of Hearts;Blood On The Tracks;Bob Dylan;197
Summer Romance;Retrospectacle - The Supertramp Anthology;Supertramp;2005
Even In The Quietest Moments;Even In The Quietest Moments;Supertramp;1977
My Kind Of Lady;Retrospectacle - The Supertramp Anthology;Supertramp;2005
Subterranean Homesick Blues;The Best Of Bob Dylan Volume 2;Bob Dylan;2000
When The Night Comes Falling From The Sky;Empire Burlesque;Bob Dylan;1985
You Win, I Lose;Retrospectacle - The Supertramp Anthology;Supertramp;200
Goodbye Stranger;Retrospectacle - The Supertramp Anthology;Supertramp;2005
It's Alright,Ma (I'm Only Bleeding) (live);Before The Flood;Bob Dylan;197
Orange Juice Blues (Blues For Breakfast);The Basement Tapes;Bob Dylan;1975
Sister Moonshine;Retrospectacle - The Supertramp Anthology;Supertramp;2005
The Logical Song;Retrospectacle - The Supertramp Anthology;Supertramp;2005
The Night They Drove Old Dixie Down (live);Before The Flood;Bob Dylan;1974
Aubade And I Am Not Like The Other Birds Of Prey;Supertramp;Supertramp;1970
Bloody Well Right;Retrospectacle - The Supertramp Anthology;Supertramp;2005
Give A Little Bit;Retrospectacle - The Supertramp Anthology;Supertramp;2005
Don't Leave Me Now;Retrospectacle - The Supertramp Anthology;Supertramp;2005
If Everyone Was Listening;The Very Best Of Supertramp Vol. 2;Supertramp;1992
It's Raining Again;Retrospectacle - The Supertramp Anthology;Supertramp;2005
Most Likely You Go Your Way And I'll Go Mine;Blonde On Blonde;Bob Dylan;1966
You're Gonna Make Me Lonesome When You Go;Blood On The Tracks;Bob Dylan;1975
Ain't Nobody But Me;Retrospectacle - The Supertramp Anthology;Supertramp;2005
Another Man's Woman;Retrospectacle - The Supertramp Anthology;Supertramp;2005
Just Another Nervous Wreck;The Very Best Of Supertramp Vol. 2;Supertramp;1992
The Ballad Of Frankie Lee And Judas Priest;John Wesley Harding;Bob Dylan;1967
Breakfast In America;Retrospectacle - The Supertramp Anthology;Supertramp;2005
Crime Of The Century;Retrospectacle - The Supertramp Anthology;Supertramp;2005
You Started Laughing;Retrospectacle - The Supertramp Anthology;Supertramp;2005
Even In The Quietest Moments;The Very Best Of Supertramp Vol. 2;Supertramp;1992
Rainy Day Women Numbers 12 And 35;The Best Of Bob Dylan Volume 2;Bob Dylan;2000
Your Poppa Don't Mind;Retrospectacle - The Supertramp Anthology;Supertramp;2005
Take The Long Way Home;Retrospectacle - The Supertramp Anthology;Supertramp;2005
It Takes A Lot To Laugh It Takes A Train To Cry;Highway 61 Revisited;Bob Dylan;1965
Most Likely You Go Your Way And I'll Go Mine (live);Before The Flood;Bob Dylan;1974
Stuck Inside Of Mobile With The Memphis Blues Again;Blonde On Blonde;Bob Dylan;1966
Stuck Inside Of Mobile With The Memphis Blues Again (live);Hard Rain;Bob Dylan;1976
Even In The Quietest Moments;Retrospectacle - The Supertramp Anthology;Supertramp;2005
